obf,disccount,nodekindcode,lowerbound,upperbound
--------------------O------XOX----XXOO------O-O----------------- X;,10,2,2,2
------------------XXXO-----XXO-----OOO-------------------------- X;,10,16,-18,36
-----------O-------XOX-----XOO-----XO--------------------------- X;,9,16,-16,36
-------------------XO------XOXX----XO-------O-------O----------- X;,10,16,-8,36
-------------------XO-----XXX-O----XOO------O------------------- X;,10,16,-6,36
------------X------X--O---XXOO-----OOO-------------------------- X;,10,16,-8,36
------------------X---O---OXXO-----OO-------O------------------- X;,9,16,-20,36
-------------------X-------XX------XO-------OO------O----------- X;,8,8,-36,20
-------------X------X-O----XOO-----OO-------O------------------- X;,9,16,-2,36
-------------------XX-----OXX------XX-----OOO------------------- X;,10,16,-6,36
--------------------OX----XOO-----OXO-------O-------O----------- X;,10,16,-22,36
--------------------------OXXX----XOXO------O-O----------------- X;,10,2,14,14
--------------------X-----XXXO-----XO------OOO------------------ X;,10,2,16,16
------------------O--------OXX----XXO-------O------------------- X;,8,16,-6,36
-------------------OX------XOX----XOOO-----O-------------------- X;,10,16,-6,36
----------X--------X-O----XOO------OO------O-------------------- X;,9,16,0,36
-------------------XO------XOO----XXOX-----O-------------------- X;,10,1,-4,-4
------------------OX------OXX-----OXO-----O-------O------------- X;,10,16,-18,36
-------------X-----XX----OOXO-----OOO--------------------------- X;,10,4,-10,-10
-------------------X------OOXO-----XOO-------O------------------ X;,9,2,20,20
----------O--------OOX-----XO------XOO-------------------------- X;,9,16,2,36
-----------X-------X--O---XXOO-----OOO-------------------------- X;,10,16,2,36
---------------------O----XXXO----OOOO-------------------------- X;,9,16,2,36
--------------------XX----OOXO-----XO------O------O------------- X;,10,16,-14,36
-------------------OX------OX-----XOX------O-------------------- X;,8,2,-2,-2
------------O------OO-----XXOX-----OOO-------------------------- X;,10,8,-36,-2
---------------------X-----OXX----XXOOO----O-------------------- X;,10,16,-20,36
------------------OOOX-----OOO-----XO--------------------------- X;,9,8,-36,18
-----------X--------X-O---XOXO----OOO--------------------------- X;,10,16,-4,36
-------------------X-------XX-O----XXO------OO------O----------- X;,10,8,-36,20
----------O--------O-------XOXX----XOO-------------------------- X;,9,2,14,14
-------------------X-----O-XX-----OOOOO----O-------------------- X;,10,2,0,0
------------------OX-------OXO-----XOO-------O------------------ X;,9,2,24,24
------------X------X------XOOO-----OO------O-------------------- X;,9,4,0,0
------------------OX------XXX------OOOO----O-------------------- X;,10,8,-36,20
-------------------O------XOXX----XOXO-----O-------------------- X;,10,16,-6,36
-------------------X-------XX-----OOOOO----O--------O----------- X;,10,2,2,2
-----------X--------X-O----XOO-----OO-------O------------------- X;,9,16,0,36
--------------X----OOOO----XX-----XXX--------------------------- X;,10,2,32,32
--------------------XXX----XO------OOO------O-------O----------- X;,10,8,-36,20
-----------X-------X-------XO----OOOO-------O------------------- X;,9,2,8,8
-------------------X-------XX-----OOOOO--O-O-------------------- X;,10,8,-36,0
--------------------X------XXO----XOO------OO--------O---------- X;,10,16,2,36
-------------------OX------XO-----XOOO----O--------------------- X;,9,2,22,22
------------X-------XX----XOOO----OOO--------------------------- X;,10,16,-22,36
--------------------O------XOXO---XXOO------O------------------- X;,10,8,-36,0
-------------------O--X----OOXO---XOX------O-------------------- X;,10,16,-20,36
-------------------OX------OOO----XOO------O-------------------- X;,9,16,2,36
--------------------OX----XOX----OOOO-----X--------------------- X;,10,16,-24,36
------------------OOOOO----OX------XO--------------------------- X;,9,16,-20,36
---------------------------XXX---OXOO----O--O----O-------------- X;,10,4,-20,-20
-------------------XXX-----OX-----OXO------O------O------------- X;,10,16,-20,36
-------------X------X----OOXO----OOOO--------------------------- X;,10,4,-14,-14
-------------------XXX-----XOO-----OO-----O--------------------- X;,9,16,-16,36
-----------X-------XX----OOOO------OOO-------------------------- X;,10,8,-36,-2
--------------------XO----XXX------OOOO----O-------------------- X;,10,16,-6,36
------------OX------O-----XXOO-----XO-O------------------------- X;,10,8,-36,0
---------------------X----XXXO-----XO------OOO------------------ X;,10,16,-22,36
-------------X-----OXO-----XO-----XOX-----O--------------------- X;,10,8,-36,16
-----------OX-------O-----XXXO-----XO-O------------------------- X;,10,8,-36,0
-------------------X-------XOO----OOO--------------------------- X;,7,2,6,6
-------------------X-------XX-----OXO------O--------O----------- X;,8,2,0,0
---------------------------OX------XO--------------------------- X;,4,1,-4,-4
-------------------X-------XXOO----XXO------O-------O----------- X;,10,4,-6,-6
--------------------O-----XXXO----OOO-O------------------------- X;,9,16,2,36
-----------OX------O------XOX------OO------O-------------------- X;,9,16,6,36
-------------------OXO----XXOO-----OOO-------------------------- X;,10,2,20,20
---------------------X----OXX-O---XXXO------O------------------- X;,10,16,-14,36
-------------------X------OXO------OO-----OOO------------------- X;,9,16,2,36
------------------OXO-----XXXO-----XO-O------------------------- X;,10,2,24,24
--------------------OX-----XXO----XXO-O-----O------------------- X;,10,16,-14,36
-----------XXX------O----OOOO------XO--------------------------- X;,10,16,-10,36
-------------------XX------XXO-----XO-------OO------O----------- X;,10,8,-36,20
----------O--------O-X----OOOO-----XO--------------------------- X;,9,8,-36,10
------------------OOX------OO-----XOOO-------------------------- X;,9,16,-6,36
------------O------O-X----OOXO-----XO--------------------------- X;,9,16,-20,36
-------------------XXX-----OX-----OXO------O--------O----------- X;,10,16,-20,36
----------XO-------O------XOX------OO------O-------------------- X;,9,16,6,36
